imdb_rating,languages,movieId,plot,poster,released,runtime,title
8.2,English,16,"Greed, deception, money, power, and murder occur between two mobster best friends and a trophy wife over a gambling empire.",https://image.tmdb.org/t/p/w440_and_h660_face/4TS5O1IP42bY2BvgMxL156EENy.jpg,1995-11-22,178,Casino
7.7,English,17,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.",https://image.tmdb.org/t/p/w440_and_h660_face/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,1996-01-26,136,Sense and Sensibility
6.7,English,18,Four interlocking tales that take place in a fading hotel on New Year's Eve.,https://image.tmdb.org/t/p/w440_and_h660_face/uZSmxBLIuZ8gpadjAWNdA5aQDAc.jpg,1995-12-25,98,Four Rooms
6.3,English,19,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",https://image.tmdb.org/t/p/w440_and_h660_face/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,1995-11-10,90,Ace Ventura: When Nature Calls
5.6,English,20,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",https://image.tmdb.org/t/p/w440_and_h660_face/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,1995-11-22,110,Money Train
6.9,English,21,A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.,https://image.tmdb.org/t/p/w440_and_h660_face/5XSVAyHmTCFOWaqEQ0LUHh3yssB.jpg,1995-10-20,105,Get Shorty
6.6,English,22,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,https://image.tmdb.org/t/p/w440_and_h660_face/sch1NNy1q6O50qaUG0MqoU8z9GD.jpg,1995-10-27,123,Copycat
6.3,English,23,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,https://image.tmdb.org/t/p/w440_and_h660_face/5Ldj3h0ReTsKlKLyLxaD3mW2ZIQ.jpg,1995-10-06,132,Assassins
6.5,English,24,A young bald albino boy with unique powers shakes up the rural community he lives in.,https://image.tmdb.org/t/p/w440_and_h660_face/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg,1995-10-27,111,Powder
7.6,English,25,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",https://image.tmdb.org/t/p/w440_and_h660_face/rl5ROyXACDkiSbO6PnKK6Onnw26.jpg,1996-02-09,111,Leaving Las Vegas
7,English,26,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,https://image.tmdb.org/t/p/w440_and_h660_face/6u14UkDVPUVquXkZ5Hgb7UIEvUE.jpg,1996-01-19,123,Othello
6.7,English,27,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,https://image.tmdb.org/t/p/w440_and_h660_face/yQ8xP1WOfatqgUp4e3X8n73itJc.jpg,1995-10-20,100,Now and Then
7.7,English,28,"Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",https://image.tmdb.org/t/p/w440_and_h660_face/tYOFCtgLb4hfuwhXKBWwAobWhwS.jpg,1995-09-27,107,Persuasion
7.7,French,29,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",https://image.tmdb.org/t/p/w440_and_h660_face/xQrp6wxaNMXVd259235d1X0LBsw.jpg,1995-12-15,112,"City of Lost Children, The (Cité des enfants perdus, La)"
7.2,Mandarin,30,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,https://image.tmdb.org/t/p/w440_and_h660_face/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,1995-12-22,108,Shanghai Triad (Yao a yao yao dao waipo qiao)
6.4,English,31,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,https://image.tmdb.org/t/p/w440_and_h660_face/y2iKziYm1rG5AWfL3el7HgxhoIp.jpg,1995-08-11,99,Dangerous Minds
8.1,English,32,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",https://image.tmdb.org/t/p/w440_and_h660_face/kKoG0hXBmBbkDnJYhhHisdin73W.jpg,1996-01-05,129,Twelve Monkeys (a.k.a. 12 Monkeys)
6.8,English,34,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",https://image.tmdb.org/t/p/w440_and_h660_face/bjDIp0b5TQRx4kF8l9TKeUANLTp.jpg,1995-08-04,91,Babe
6.9,English,35,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.,https://image.tmdb.org/t/p/w440_and_h660_face/8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg,1995-11-10,121,Carrington
7.6,English,36,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",https://image.tmdb.org/t/p/w440_and_h660_face/wQmmJi5ypfHH2boXrQBmsep7qb2.jpg,1996-02-02,122,Dead Man Walking
6.6,English,37,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...",,1995-10-20,51,Across the Sea of Time
5.7,English,38,"Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...",https://image.tmdb.org/t/p/w440_and_h660_face/sdes5TrRbymELYLG85YIxmFb1OP.jpg,1995-11-17,101,It Takes Two
6.8,English,39,"A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.",https://image.tmdb.org/t/p/w440_and_h660_face/71RW4lkES2Dt7vSLSXvekGYNskG.jpg,1995-07-19,97,Clueless
6.9,English,40,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,https://image.tmdb.org/t/p/w440_and_h660_face/kGPsBswFOCjiGzXq4OZwzEAAODa.jpg,1995-12-15,106,"Cry, the Beloved Country"
7.5,English,41,The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.,https://image.tmdb.org/t/p/w440_and_h660_face/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,1995-12-29,104,Richard III
6.8,English,42,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",https://image.tmdb.org/t/p/w440_and_h660_face/gCqfjRQtBugpmbkBrmGzCLSJo3m.jpg,1995-10-06,119,Dead Presidents
6.7,English,43,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",https://image.tmdb.org/t/p/w440_and_h660_face/wkf0z1GSbVXrGvUpT5ApBNA4VEW.jpg,1996-02-02,117,Restoration
5.8,English,44,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,https://image.tmdb.org/t/p/w440_and_h660_face/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,1995-08-18,101,Mortal Kombat
6.8,English,45,"Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight, including enlisting three teenagers to kill her husband.",https://image.tmdb.org/t/p/w440_and_h660_face/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg,1995-10-06,106,To Die For
6.2,English,46,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,https://image.tmdb.org/t/p/w440_and_h660_face/vwYRaERccwXWCYrTzeWRZRarJOo.jpg,1995-10-06,109,How to Make an American Quilt
8.6,English,47,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.",https://image.tmdb.org/t/p/w440_and_h660_face/6yoghtyTpznpBik8EngEmJskVUO.jpg,1995-09-22,127,Seven (a.k.a. Se7en)
6.6,English,48,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.,https://image.tmdb.org/t/p/w440_and_h660_face/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,1995-06-23,81,Pocahontas
6.8,English,49,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",https://image.tmdb.org/t/p/w440_and_h660_face/f9edMkT6bLXVvZICn47ARnQ1Iu5.jpg,1995-11-17,94,When Night Is Falling
8.6,English,50,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.",https://image.tmdb.org/t/p/w440_and_h660_face/d2IalvQ6eaEAsLVTFUEHf6roHEk.jpg,1995-09-15,106,"Usual Suspects, The"
7.1,English,52,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a prostitute.",https://image.tmdb.org/t/p/w440_and_h660_face/m0MZabFBNtMuFn3oNcq45M1Jws3.jpg,1995-11-10,95,Mighty Aphrodite
7.6,Albanian,53,Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...,https://image.tmdb.org/t/p/w440_and_h660_face/1oeLiGLbjXi32ZPIrzTrYIsKFd5.jpg,1995-10-04,116,Lamerica
5.4,English,54,"Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of ...",https://image.tmdb.org/t/p/w440_and_h660_face/kbJqLMRUoVmNkQ4VgAtDwGis2dJ.jpg,1995-09-29,100,"Big Green, The"
6.4,English,55,"Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ...",https://image.tmdb.org/t/p/w440_and_h660_face/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,1995-12-08,115,Georgia
6.6,English,57,"After losing her job, making out with her soon-to-be former boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",https://image.tmdb.org/t/p/w440_and_h660_face/a8MslR6deQQVe8JR542XDSwHiPB.jpg,1995-11-03,103,Home for the Holidays
7.8,Italian,58,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,https://image.tmdb.org/t/p/w440_and_h660_face/zqK1rE4gpDvEn612HeJF4EnoYCG.jpg,1996-03-22,108,"Postman, The (Postino, Il)"
7.6,French,59,"The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ...",https://image.tmdb.org/t/p/w440_and_h660_face/9ApR0PwQdlnvc76NmlbUWkeAK9i.jpg,1996-08-16,100,"Confessional, The (Confessionnal, Le)"
5.9,English,60,On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best ...,https://image.tmdb.org/t/p/w440_and_h660_face/6jxwjs285L16lO3XAX7FzfQpREb.jpg,1995-07-14,96,"Indian in the Cupboard, The"
6.1,English,61,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",https://image.tmdb.org/t/p/w440_and_h660_face/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,1996-01-12,101,Eye for an Eye
7.3,English,62,A frustrated composer finds fulfillment as a high school music teacher.,https://image.tmdb.org/t/p/w440_and_h660_face/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,1996-01-19,143,Mr. Holland's Opus
6.6,English,63,"Don't Be a Menace to South Central While Drinking your Juice in the Hood is a parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood, South Central, ...",https://image.tmdb.org/t/p/w440_and_h660_face/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg,1996-01-12,89,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
5.2,English,64,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job, which involves stealing a valuable painting. ...",https://image.tmdb.org/t/p/w440_and_h660_face/kvQl6sJyplWRQ0BGp0E8kBUQKO8.jpg,1996-01-12,96,Two if by Sea
4.3,English,65,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",https://image.tmdb.org/t/p/w440_and_h660_face/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg,1996-01-12,88,Bio-Dome
2.4,English,66,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...",https://image.tmdb.org/t/p/w440_and_h660_face/2Zp26DfI6pTqiyHUkL7bMjv28tG.jpg,1996-01-12,93,Lawnmower Man 2: Beyond Cyberspace
6.4,French,68,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",https://image.tmdb.org/t/p/w440_and_h660_face/5WhBRgimR7mHiB4oSmXDPXzn81j.jpg,1996-01-19,104,French Twist (Gazon maudit)
7.3,English,69,"Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by ten p.m. that same night. In that time, they smoke more weed, get jacked, and they get shot at in a drive-by.",https://image.tmdb.org/t/p/w440_and_h660_face/kvtBMDc67NShviLR0AyjWklT8VW.jpg,1995-04-26,91,Friday
7.3,English,70,"Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results.",https://image.tmdb.org/t/p/w440_and_h660_face/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,1996-01-19,108,From Dusk Till Dawn
4.1,English,71,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",https://image.tmdb.org/t/p/w440_and_h660_face/sLmQMGJXQI4zakDTqq7J0d9nCU3.jpg,1995-11-03,91,Fair Game
7.1,English,72,"Following graduation, a handful of college students do nothing and talk about it wittily.",https://image.tmdb.org/t/p/w440_and_h660_face/186brkmaBmopqcM0dPs71tj9BfM.jpg,1995-10-06,96,Kicking and Screaming
7.5,French,73,Henri Fortin is poor and iliterate former boxer. Ziman is rich Jewish lawyer from Paris. During WWII they meet when Fortin agrees to drive Ziman's family to Switzerland. Intrigued by Victor...,https://image.tmdb.org/t/p/w440_and_h660_face/ct1T56BbeE60CsoFhUB4Qmq8kkf.jpg,1995-11-03,175,"Misérables, Les"
6,English,74,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",https://image.tmdb.org/t/p/w440_and_h660_face/e0Eho8TETw1RhvX9MH9i19Xf1iM.jpg,1996-01-26,87,Bed of Roses
6.4,English,76,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as...",https://image.tmdb.org/t/p/w440_and_h660_face/5eD94VJwaui14lBozxRQHWhA06X.jpg,1996-01-26,108,Screamers
7.3,English,77,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,...",,1995-11-16,67,Nico Icon
6.4,English,78,Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl.,https://image.tmdb.org/t/p/w440_and_h660_face/otL93Cs0pHAc0pR4CF3yAY436tY.jpg,1995-11-16,111,"Crossing Guard, The"
5.6,English,79,"When Annie Laird is selected as a juror in a big Mafia trial, she is forced by someone known as The Teacher to persuade the other jurors to vote not guilty. He threatens to kill her son...",https://image.tmdb.org/t/p/w440_and_h660_face/dZ94mKfHmYqwIOd826dF5z5aGnr.jpg,1996-02-02,118,"Juror, The"
7.8,Persian,80,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,https://image.tmdb.org/t/p/w440_and_h660_face/bamJR4MwtQDMdWkjVAPojfwOjY4.jpg,1995-11-27,85,"White Balloon, The (Badkonake sefid)"
6.8,English,81,Five different criminals face imminent death after botching a job quite badly.,https://image.tmdb.org/t/p/w440_and_h660_face/kATmorfxsxbS0GSKOVJe4qvPLh5.jpg,1995-12-01,115,Things to Do in Denver When You're Dead
7.5,Dutch,82,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",https://image.tmdb.org/t/p/w440_and_h660_face/7Yz6IXplDRtasBwRkdv0OguIV0B.jpg,1996-02-02,102,Antonia's Line (Antonia)
7.3,English,83,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,,1996-01-26,115,Once Upon a Time... When We Were Colored
6.1,English,84,"Filmed entirely on location in East Hampton, Long Island, Last Summer in the Hamptons concerns a large theatrical family spending the last weekend of their summer together at the ...",https://image.tmdb.org/t/p/w440_and_h660_face/qVCkkiAoxh5e1UIKJ4Uo6ILV8qA.jpg,1996-09-15,108,Last Summer in the Hamptons
7,English,85,In the 1800s a naturalist marries into a family of British country gentry.,https://image.tmdb.org/t/p/w440_and_h660_face/qScw5w5NTkmcVvRmrfWmQW4JHpe.jpg,1996-01-26,116,Angels and Insects
6.6,English,86,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,https://image.tmdb.org/t/p/w440_and_h660_face/rNWFsKrTGRCTKsT9dGx9vwWP8tA.jpg,1996-02-02,129,White Squall
5.2,English,87,Young boy befriends larcenous orangutan in luxury hotel.,https://image.tmdb.org/t/p/w440_and_h660_face/mvbJSNMRzM7epjeJMT3vFxXydQJ.jpg,1996-01-12,88,Dunston Checks In
6.2,English,88,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,https://image.tmdb.org/t/p/w440_and_h660_face/bV9SCk4QXCi9p1kdDBiYejcMQwK.jpg,1996-02-02,87,Black Sheep
6.3,English,89,"An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",https://image.tmdb.org/t/p/w440_and_h660_face/A1FJwUVg84sQSjHVz5jVMXQvifJ.jpg,1995-11-22,90,Nick of Time
5.8,English,92,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",https://image.tmdb.org/t/p/w440_and_h660_face/9u7dWUrfphfjhn1pCO7yOD161Jf.jpg,1996-02-23,108,Mary Reilly
4.5,English,93,"Maximillian is the only survivor from a race of vampires on a Caribbean Island, and as a vampire, he must find a mate to keep the line from ending. He knows that a child had been born to a ...",https://image.tmdb.org/t/p/w440_and_h660_face/6lO6P7KhIjoxVOQ9AzjHseQqPz5.jpg,1995-10-27,100,Vampire in Brooklyn
7.2,English,94,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,https://image.tmdb.org/t/p/w440_and_h660_face/sHcx1fBmrtZYvFmUywU0d5cvIFd.jpg,1996-02-09,112,Beautiful Girls
6,English,95,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,https://image.tmdb.org/t/p/w440_and_h660_face/7wmFsLBQDDTMxEbaZlCqgfEx9PK.jpg,1996-02-09,108,Broken Arrow
7.3,English,96,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent ...",https://image.tmdb.org/t/p/w440_and_h660_face/cl5WtKNYL7porHGCroRTAKCGlTM.jpg,1996-02-16,99,In the Bleak Midwinter
8.1,French,97,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,https://image.tmdb.org/t/p/w440_and_h660_face/f37UqJ9aJtilApJV4J7N3n9vo3Y.jpg,1996-02-23,98,"Hate (Haine, La)"
5.4,English,98,"You've run out of options, no school, no job. Steal a car, smash a shop with a heavy car and reap the proceeds!. This movie is about underground England. The causes, the benefits, and the result of a life of 'crash and carry'.",https://image.tmdb.org/t/p/w440_and_h660_face/sE6oLJg2c9Wc9Ra7Yf5j7OArjYk.jpg,1996-02-09,87,Shopping
6.6,English,99,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the ...",https://image.tmdb.org/t/p/w440_and_h660_face/laPSb9I8TuYslOh1OcgaTByWKnw.jpg,1996-02-09,106,Heidi Fleiss: Hollywood Madam
6.2,English,100,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",https://image.tmdb.org/t/p/w440_and_h660_face/g6JjdkmdElHIoNVaEso0BmjRDQT.jpg,1996-02-16,111,City Hall
7.1,English,101,Focusing on a trio of friends and their elaborate plan to pull off a simple robbery and go on the run.,https://image.tmdb.org/t/p/w440_and_h660_face/9ZTDOI0CB1WABPMH2zV5Gd5g414.jpg,1996-02-21,91,Bottle Rocket
3.7,English,102,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature.",https://image.tmdb.org/t/p/w440_and_h660_face/yGbPzJ5hib2TFi0Rkb6JH8webaL.jpg,1996-02-16,96,Mr. Wrong
6,English,103,"Unsuccessfully framed for his wife's murder, Dr. David Krane attempts to find the real culprit by utilizing a new drug that allows him to experience the memories of other people first-hand....",https://image.tmdb.org/t/p/w440_and_h660_face/500Ne3EDn3HHpuCQWwGKR74r0cB.jpg,1996-02-23,117,Unforgettable
7,English,104,A rejected hockey player puts his skills to the golf course to save his grandmother's house.,https://image.tmdb.org/t/p/w440_and_h660_face/4RnCeRzvI1xk5tuNWjpDKzSnJDk.jpg,1996-02-16,92,Happy Gilmore
7.5,English,105,"Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson, for four days in the 1960s.",https://image.tmdb.org/t/p/w440_and_h660_face/8TfLAfIh5Qxp2J4ZjOafHYhWtDb.jpg,1995-06-02,135,"Bridges of Madison County, The"
6.9,English,107,The Muppets' twist on the classic tale.,https://image.tmdb.org/t/p/w440_and_h660_face/3TyhweCMltsQPQ2sfxNApe9RRRz.jpg,1996-02-16,99,Muppet Treasure Island
6.4,English,108,"A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York one year in the early 1990s, probably 1992. She and others dash from one designer's ...",https://image.tmdb.org/t/p/w440_and_h660_face/sQ2dk0qd3rhfT1776GcFnLj4s1U.jpg,1996-05-16,95,Catwalk
8.4,English,110,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.",https://image.tmdb.org/t/p/w440_and_h660_face/or1gBugydmjToAEq7OZY0owwFk.jpg,1995-05-24,178,Braveheart
8.3,English,111,"A mentally unstable Vietnam war veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",https://image.tmdb.org/t/p/w440_and_h660_face/ekstpH614fwDX8DUln1a2Opz0N8.jpg,1976-02-08,113,Taxi Driver
6.7,Cantonese,112,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,https://image.tmdb.org/t/p/w440_and_h660_face/1nAfchiXHQB3iyhK8fCJJEnNs5A.jpg,1996-02-23,87,Rumble in the Bronx (Hont faan kui)
6.1,English,113,Two parents deal with the effects when their son is accused of murdering his girlfriend.,https://image.tmdb.org/t/p/w440_and_h660_face/4Q2SdpMJtNcbEvidNuc7z0KRiHo.jpg,1996-02-23,108,Before and After
7.3,English,114,"Margaret MacNiel, a girl living in a Cape Breton coal mining town, finds her life changing when she meets Neil Currie, a cheerful bagpipe-playing dishwasher. Unfortunately, neither of them are able to escape the industry around them.",https://image.tmdb.org/t/p/w440_and_h660_face/c6ZXEVl8pPdlzkoAm5dQ2EZnUoY.jpg,1996-01-26,114,Margaret's Museum
8.2,English,116,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first ...",https://image.tmdb.org/t/p/w440_and_h660_face/xS47oTLlMn8UbG81MpA2jVOlkM8.jpg,1995-08-31,122,Anne Frank Remembered
